102491590,2010,51,51,1,1087549,40,DELANCY STREET,40.72003230041500,-73.99165073461550
102922955,2010,5,5.0,1,1087877,175,MULBERRY STREET,40.72017416252960,-73.9972057570223
103174084,2011,30,30.0,1,1087368,167,EAST 111 STREET,40.79537355696560,-73.94330405175550
103322815,2013,39,39.0,1,1089401,324,PLEASANT AVENUE,40.795966034502100,-73.93216049630700
103368160,2010,8,8.0,1,1088159,2027,1 AVENUE,40.788783913535700,-73.94105396386960
103490624,2010,5,5.0,1,1088707,41,7 AVENUE SOUTH,40.73098915784210,-74.00398987272650
103523821,2010,37,37.0,1,1088165,1677,LEXINGTON AVENUE,40.79166541879620,-73.94633635792920
103630215,2016,14,14.0,1,1089581,303,WEST 146 STREET,40.823882669062,-73.94183274868040
103683426,2022,11,11,1,1089587,703,WEST 171 STREET,40.844439976243100,-73.94146352790070
103715393,2016,6,6.0,1,1090389,559,WEST 23 STREET,40.748908342943100,-74.00632493682570
103731473,2017,4,4.0,1,1054620,210,EAST 122 STREET,40.8013091615751,-73.93677343081820
103769254,2012,2,2.0,1,1058136,156,WEST 132 STREET,40.8128185798843,-73.9442559523573
103859521,2014,6,6.0,1,1012002,423,WEST STREET,40.73507788654260,-74.009669461014
103869164,2011,1,1.0,1,1088163,182,EAST 117 STREET,40.79871946948490,-73.94012773241080
103935191,2010,3,3.0,1,1086078,276,WATER STREET,40.70884011188070,-74.00113779103760
103964088,2010,76,76.0,1,1038040,250,EAST 49 STREET,40.75419321019910,-73.96942677758560
103990772,2023,54,35,1,1087837,2201,ADAM CLAYTON POWELL JR BOULEVARD,40.81216333916000,-73.94551971369100
104014781,2011,7,7.0,1,1088677,31,VESTRY STREET,40.722499304138000,-74.0087544361369
104035312,2015,13,13.0,1,1057953,110,WEST 129 STREET,40.81041791502310,-73.94431989422270
104086230,2010,6,6.0,1,1088727,1055,PARK AVENUE,40.78059919430880,-73.95640391107680
104090715,2011,8,8.0,1,1088613,134,EAST 26 STREET,40.74113366076500,-73.98306870796190
104093428,2017,11,11.0,1,1087740,369,WEST 126 STREET,40.81197239033530,-73.95290167985720
